"Criteria ID","Name"
"1013336","Sherwood"
"1013337","Siloam Springs"
"1013338","Smackover"
"1013339","Springdale"
"1013340","Stamps"
"1013341","Star City"
"1013343","Stuttgart"
"1013344","Subiaco"
"1013345","Sulphur Rock"
"1013346","Swifton"
"1013347","Texarkana"
"1013348","Timbo"
"1013349","Tontitown"
"1013350","Trumann"
"1013351","Valley Springs"
"1013352","Van Buren"
"1013353","Vilonia"
"1013354","Waldo"
"1013355","Waldron"
"1013356","Walnut Ridge"
"1013357","Ward"
"1013358","Warren"
"1013359","Washington"
"1013360","Weiner"
"1013361","West Fork"
"1013362","West Helena"
"1013363","West Memphis"
"1013364","White Hall"
"1013365","Winslow"
"1013366","Wiseman"
"1013367","Wrightsville"
"1013368","Wynne"
"1013369","Yellville"
"1013370","Ajo"
"1013371","Alpine"
"1013372","Amado"
"1013373","Apache Junction"
"1013374","Arizona City"
"1013375","Ash Fork"
"1013376","Avondale"
"1013377","Benson"
"1013378","Bisbee"
"1013379","Buckeye"
"1013380","Bullhead City"
"1013381","Camp Verde"
"1013382","Carefree"
"1013383","Casa Grande"
"1013384","Catalina"
"1013385","Cave Creek"
"1013386","Central"
"1013387","Chandler"
"1013388","Chinle"
"1013389","Chino Valley"
"1013390","Clarkdale"
"1013391","Clifton"
"1013392","Cochise"
"1013393","Colorado City"
"1013395","Coolidge"
"1013396","Cortaro"
"1013397","Cottonwood"
"1013398","Dateland"
"1013399","Dewey"
"1013400","Douglas"
"1013401","Duncan"
"1013402","Ehrenberg"
"1013403","El Mirage"
"1013404","Elgin"
"1013405","Eloy"
"1013406","Flagstaff"
"1013407","Florence"
"1013408","Fountain Hills"
"1013409","Fredonia"
"1013410","Fort Defiance"
"1013411","Fort Huachuca"
"1013412","Fort Mohave"
"1013413","Fort Thomas"
"1013414","Ganado"
"1013415","Gila Bend"
"1013416","Gilbert"
"1013417","Glendale"
"1013418","Globe"
"1013419","Goodyear"
"1013420","Grand Canyon National Park"
"1013421","Green Valley"
"1013422","Hayden"
"1013423","Heber"
"1013424","Higley"
"1013425","Holbrook"
"1013426","Hotevilla-Bacavi"
"1013427","Joseph City"
"1013428","Kayenta"
"1013429","Keams Canyon"
"1013430","Kearny"
"1013431","Kingman"
"1013432","Kykotsmovi Village"
"1013433","Lake Havasu City"
"1013434","Lake Montezuma"
"1013435","Lakeside"
"1013437","Litchfield Park"
"1013438","Littlefield"
"1013439","Luke AFB"
"1013440","Mammoth"
"1013441","Many Farms"
"1013442","Marana"
"1013443","Maricopa"
"1013444","Mayer"
"1013445","Mesa"
"1013446","Miami"
"1013448","Mohave Valley"
"1013449","Morenci"
"1013450","Morristown"
"1013451","Naco"
"1013452","New River"
"1013453","Nogales"
"1013454","Oracle"
"1013455","Page"
"1013456","Palo Verde"
"1013457","Paradise Valley"
"1013458","Parker"
"1013459","Parks"
"1013460","Payson"
"1013461","Peoria"
"1013462","Phoenix"
"1013463","Pima"
"1013464","Pinetop"
"1013465","Poston"
"1013466","Prescott"
"1013467","Prescott Valley"
"1013468","Quartzsite"
"1013469","Queen Creek"
"1013470","Red Rock"
"1013471","Rio Rico"
"1013472","Rio Verde"
"1013473","Sacaton"
"1013474","Safford"
"1013475","Sahuarita"
"1013476","Salome"
"1013477","San Carlos"
"1013478","San Luis"
"1013479","San Manuel"
"1013480","San Simon"
"1013481","Sanders"
"1013482","Scottsdale"
"1013483","Sedona"
"1013484","Seligman"
"1013485","Sells"
"1013486","Show Low"
"1013487","Sierra Vista"
"1013488","Skull Valley"
"1013489","Snowflake"
"1013490","Solomon"
"1013491","Somerton"
"1013492","Springerville"
"1013493","St. David"
"1013494","St. Johns"
"1013495","St. Michaels"
"1013496","Stanfield"
"1013497","Sun City"
"1013498","Sun City West"
"1013499","Superior"
"1013500","Surprise"
"1013501","Teec Nos Pos"
"1013502","Tempe"
"1013503","Thatcher"
"1013504","Tolleson"
"1013505","Tombstone"
"1013506","Tonopah"
"1013507","Topawa"
"1013508","Tuba City"
"1013509","Tucson"
"1013510","Vail"
"1013511","Waddell"
"1013512","Wellton"
"1013513","Whiteriver"
"1013514","Wickenburg"
"1013515","Wikieup"
"1013516","Willcox"
"1013517","Williams"
"1013518","Window Rock"
"1013519","Winkelman"
"1013520","Winslow"
"1013521","Wittmann"
"1013522","Youngtown"
"1013523","Yuma"
"1013524","Acton"
"1013525","Adelanto"
"1013526","Agoura Hills"
"1013527","Alameda"
"1013528","Alamo"
"1013529","Albany"
"1013530","Albion"
"1013531","Alhambra"
"1013532","Aliso Viejo"
"1013533","Alleghany"
"1013534","Alpaugh"
"1013535","Alpine"
"1013536","Alta"
"1013537","Altadena"
"1013538","Altaville"
"1013539","Alturas"
"1013541","American Canyon"
"1013542","Anaheim"
"1013543","Anderson"
"1013544","Angels Camp"
"1013545","Angwin"
"1013546","Annapolis"
"1013547","Antelope"
"1013548","Antioch"
"1013549","Apple Valley"
"1013550","Aptos"
"1013551","Arbuckle"
"1013552","Arcadia"
"1013553","Arcata"
"1013554","Arnold"
"1013555","Aromas"
"1013556","Arroyo Grande"
"1013557","Artesia"
"1013558","Arvin"
"1013559","Atascadero"
"1013560","Atherton"
"1013561","Atwater"
"1013562","Auberry"
"1013563","Auburn"
"1013564","Avalon"
"1013565","Avenal"
"1013566","Avila Beach"
"1013567","Azusa"
"1013568","Badger"
"1013569","Baker"
"1013570","Bakersfield"
